hyponym,hypo-definition,hypernym,hyper-definition
red,"""a tributary of the Mississippi River that flows eastward from Texas along the southern boundary of Oklahoma and through Louisiana""",american,"""of or relating to the United States of America or its people or language or culture"""
reduced,"""made less in size or amount or degree""",smaller,"""small or little relative to something else"""
reduced,"""made less in size or amount or degree""",less,"""(comparative of ‘little’ usually used with mass nouns) a quantifier meaning not as great in amount or degree"""
redundant,"""more than is needed, desired, or required""",unnecessary,"""not necessary"""
redundant,"""more than is needed, desired, or required""",excessive,"""beyond normal limits"""
regional,"""characteristic of a region""",geographic,"""of or relating to the science of geography"""
regional,"""characteristic of a region""",territorial,"""of or relating to a territory"""
regional,"""characteristic of a region""",local,"""relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area"""
regulatory,"""restricting according to rules or principles""",restrictive,"""serving to restrict"""
related,"""being connected either logically or causally or by shared characteristics""",connected,"""being joined in close association"""
related,"""being connected either logically or causally or by shared characteristics""",associated,"""nan"""
related,"""being connected either logically or causally or by shared characteristics""",linked,"""connected by a link, as railway cars or trailer trucks"""
related,"""connected by kinship""",connected,"""being joined in close association"""
related,"""connected by kinship""",linked,"""connected by a link, as railway cars or trailer trucks"""
relative,"""estimated by comparison; not absolute or complete""",partial,"""constituting or comprising a part or fraction of a possible whole or entirety"""
relative,"""estimated by comparison; not absolute or complete""",estimated,"""nan"""
relative,"""estimated by comparison; not absolute or complete""",approximate,"""not quite exact or correct"""
relevant,"""having a bearing on or connection with the subject at issue""",material,"""concerned with worldly rather than spiritual interests"""
relevant,"""having a bearing on or connection with the subject at issue""",germane,"""relevant and appropriate"""
relevant,"""having a bearing on or connection with the subject at issue""",significant,"""important in effect or meaning"""
relevant,"""having a bearing on or connection with the subject at issue""",pertinent,"""having precise or logical relevance to the matter at hand"""
relevant,"""having a bearing on or connection with the subject at issue""",applicable,"""capable of being applied; having relevance"""
religious,"""having or showing belief in and reverence for a deity""",devout,"""deeply religious"""
reluctant,"""unwillingness to do something contrary to your custom""",hesitant,"""lacking decisiveness of character; unable to act or decide quickly or firmly"""
reluctant,"""unwillingness to do something contrary to your custom""",resistant,"""relating to or conferring immunity (to disease or infection)"""
reluctant,"""unwillingness to do something contrary to your custom""",unwilling,"""not disposed to and refusing to do something"""
